Date,Source,Party,District,Candidate,Speech
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,UTGRC friends from Sambawang GRC and Sambawang West
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,SMC ladies and gentlemen good evening
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,let me begin my speech tonight by saying a few words first in Malay followed by
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,Mandarin and in English
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,say bahasa tapi
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,sid bahanti kana s
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,mahan and samoa
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,saya dalan Ramadan busu 967 kin
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,Woodland Health Campusing Mallen
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,Stadium Sa
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,Magus Burkin Sapoi Unu and
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,Master Sama Itula Janji
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,Serila Sang Ini [Music]
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,[Applause]
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,Fore e cuff
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,[Applause]
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,foreign speech
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,fore growth
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,forming
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,to my dearest Worth residents good evening tonight I stand here feeling
24-Apr-25,https://www.youtube.com/watch?v=Q_8CkF9ZiFc,PAP,Marsiling - Yew Tee GRC,Hany Soh,very grateful grateful for your trust your partnership and your belief in me
